5.56,,Donovan BAILEY,16 DEC 1967,CAN,Reno* NV (USA),09 FEB 1996
5.61,,James SANFORD,27 DEC 1957,USA,San Diego* CA (USA),20 FEB 1981
6.34,,Christian COLEMAN,06 MAR 1996,USA,Albuquerque* NM (USA),18 FEB 2018
6.39,,Maurice GREENE,23 JUL 1974,USA,Atlanta* GA (USA),03 MAR 2001
6.39,,Maurice GREENE,23 JUL 1974,USA,Madrid (ESP),03 FEB 1998
6.41,,Maurice GREENE,23 JUL 1974,USA,Stuttgart (GER),01 FEB 1998
6.41,,Andre CASON,20 JAN 1969,USA,Madrid (ESP),14 FEB 1992
6.45,,Andre CASON,20 JAN 1969,USA,Gent (BEL),29 JAN 1992
6.48,,Leroy BURRELL,21 FEB 1967,USA,Madrid (ESP),13 FEB 1991
6.50,,Lee MCRAE,23 JAN 1966,USA,Hoosier Dome* Indianapolis* IN (USA),07 MAR 1987
19.92,,Frank FREDERICKS,02 OCT 1967,NAM,Li?vin (FRA),18 FEB 1996
20.25,,Linford CHRISTIE,02 APR 1960,GBR,Li?vin (FRA),19 FEB 1995
20.36,,Bruno MARIE-ROSE,20 MAY 1965,FRA,Arena Stade Couvert* Li?vin (FRA),22 FEB 1987
44.57,,Kerron CLEMENT,31 OCT 1985,USA,Fayetteville* AR (USA),12 MAR 2005
44.63,,Michael JOHNSON,13 SEP 1967,USA,Atlanta* GA (USA),04 MAR 1995
44.97,,Michael JOHNSON,13 SEP 1967,USA,Reno* NV (USA),10 FEB 1995
45.02,,Danny EVERETT,01 NOV 1966,USA,Stuttgart (GER),02 FEB 1992
45.05,,Thomas SCH?NLEBE,06 AUG 1965,GDR,Sindelfingen (GER),05 FEB 1988
45.41,,Thomas SCH?NLEBE,06 AUG 1965,GDR,Wien (AUT),09 FEB 1986
1:42.67,,Wilson KIPKETER,12 DEC 1972,DEN,Palais Omnisports de Paris-Bercy* Paris (FRA),09 MAR 1997
1:43.96,,Wilson KIPKETER,12 DEC 1972,DEN,Palais Omnisports de Paris-Bercy* Paris (FRA),07 MAR 1997
1:44.84,,Paul ERENG,22 AUG 1967,KEN,Budapest Sportcsarnok* Budapest (HUN),04 MAR 1989
1:44.91,,Sebastian COE,29 SEP 1956,GBR,Cosford (GBR),12 MAR 1983
2:14.20,,Ayanleh SOULEIMAN,03 DEC 1992,DJI,Globe Arena* Stockholm (SWE),17 FEB 2016
2:14.96,,Wilson KIPKETER,12 DEC 1972,DEN,Birmingham (GBR),20 FEB 2000
2:15.25,,Wilson KIPKETER,12 DEC 1972,DEN,Stuttgart (GER),06 FEB 2000
2:15.26,,Noureddine MORCELI,28 FEB 1970,ALG,Birmingham (GBR),22 FEB 1992
2:16.4h,,Rob DRUPPERS,29 APR 1962,NED,Den Haag (NED),20 FEB 1988
2:18.00,,Igor LOTARYOV,30 AUG 1964,URS,Moskva (URS),14 FEB 1987
3:30.60,,Jakob INGEBRIGTSEN,19 SEP 2000,NOR,Arena Stade Couvert* Li?vin (FRA),17 FEB 2022
3:31.04,,Samuel TEFERA,23 OCT 1999,ETH,Arena Birmingham* Birmingham (GBR),16 FEB 2019
3:31.18,,Hicham EL GUERROUJ,14 SEP 1974,MAR,Stuttgart (GER),02 FEB 1997
3:34.16,,Noureddine MORCELI,28 FEB 1970,ALG,Sevilla (ESP),28 FEB 1991
3:34.20,,Peter ELLIOTT,09 OCT 1962,GBR,Sevilla (ESP),27 FEB 1990
3:35.6h,,Marcus O'SULLIVAN,22 DEC 1961,IRL,East Rutherford* NJ (USA),10 FEB 1989
3:36.03,,Jos? Luis GONZ?LEZ,08 DEC 1957,ESP,Oviedo (ESP),01 MAR 1986
3:47.01,,Yomif KEJELCHA,01 AUG 1997,ETH,Boston* MA (USA),03 MAR 2019
3:48.45,,Hicham EL GUERROUJ,14 SEP 1974,MAR,Gent (BEL),12 FEB 1997
3:49.78,,Eamonn COGHLAN,21 NOV 1952,IRL,East Rutherford* NJ (USA),27 FEB 1983
7:24.90,,Daniel KOMEN,17 MAY 1976,KEN,Budapest (HUN),06 FEB 1998
7:26.15,,Haile GEBRSELASSIE,18 APR 1973,ETH,Karlsruhe (GER),25 JAN 1998
7:30.72,,Haile GEBRSELASSIE,18 APR 1973,ETH,Stuttgart (GER),04 FEB 1996
7:35.15,,Moses KIPTANUI,01 OCT 1970,KEN,Gent (BEL),12 FEB 1995
7:37.31,,Moses KIPTANUI,01 OCT 1970,KEN,Sevilla (ESP),20 FEB 1992
7:39.2h,,Emiel PUTTEMANS,08 OCT 1947,BEL,Berlin (GER),18 FEB 1973
12:49.60,,Kenenisa BEKELE,13 JUN 1982,ETH,National Indoor Arena* Birmingham (GBR),20 FEB 2004
12:50.38,,Haile GEBRSELASSIE,18 APR 1973,ETH,Birmingham (GBR),14 FEB 1999
12:51.48,,Daniel KOMEN,17 MAY 1976,KEN,Stockholm (SWE),19 FEB 1998
12:59.04,,Haile GEBRSELASSIE,18 APR 1973,ETH,Stockholm (SWE),20 FEB 1997
13:10.98,,Haile GEBRSELASSIE,18 APR 1973,ETH,Sindelfingen (GER),27 JAN 1996
13:20.4h,,Suleiman NYAMBUI,13 FEB 1953,TAN,New York* NY (USA),06 FEB 1981
